"user_id","month","tenure_months","plan_tier","is_corporate","monthly_price","credits_allocated","credits_used","credits_utilization","credits_rolled_over","avg_credit_cost_per_class","classes_booked","classes_peak","classes_offpeak","late_cancel_fees","support_tickets","price_increase_last_period","churned"
1,1,2,"Premium",0,199,100,15,0.15,50,15,1,1,0,0,0,0,1
2,1,3,"Premium",0,199,100,42,0.42,50,10.5,4,2,2,0,0,0,0
2,2,4,"Premium",0,199,100,66,0.66,34,13.2,5,4,1,0,0,0,0
2,3,5,"Premium",0,199,100,45,0.45,50,7.5,6,1,5,0,0,0,0
2,4,6,"Premium",0,199,100,36,0.36,50,12,3,2,1,0,0,0,0
2,5,7,"Premium",0,199,100,42,0.42,50,10.5,4,2,2,0,0,0,0
2,6,8,"Premium",0,199,100,21,0.21,50,10.5,2,1,1,2,0,0,0
2,7,9,"Premium",0,199,100,96,0.96,4,13.7142857142857,7,6,1,0,0,0,1
2,8,10,"Premium",0,199,100,33,0.33,50,8.25,4,1,3,0,0,0,0
2,9,11,"Premium",0,199,100,51,0.51,49,12.75,4,3,1,0,1,0,0
2,10,12,"Premium",0,199,100,66,0.66,34,13.2,5,4,1,0,1,0,0
2,11,13,"Premium",0,199,100,36,0.36,50,12,3,2,1,0,0,0,0
2,12,14,"Premium",0,199,100,15,0.15,50,15,1,1,0,0,0,0,0
3,1,14,"Core",0,99,48,48,1,0,6,8,0,8,2,0,0,0
3,2,15,"Core",0,99,48,48,1,0,12,4,1,3,0,0,1,0
3,3,16,"Core",0,99,48,48,1,0,8,6,1,5,2,0,0,0
3,4,17,"Core",0,99,48,30,0.625,18,6,5,0,5,1,0,0,0
3,5,18,"Core",0,99,48,24,0.5,24,6,4,0,4,0,0,0,0
3,6,19,"Core",0,99,48,42,0.875,6,6,7,0,7,0,0,0,0
3,7,20,"Core",0,99,48,48,1,0,8,6,0,6,1,0,0,0
3,8,21,"Core",0,99,48,48,1,0,9.6,5,0,5,0,0,0,0
3,9,22,"Core",0,99,48,48,1,0,8,6,0,6,2,0,0,0
3,10,23,"Core",0,99,48,36,0.75,12,6,6,0,6,1,0,0,0
3,11,24,"Core",0,99,48,36,0.75,12,6,6,0,6,3,0,0,0
